Cycle,RunTimeDynamic(W)
52299000,8.200958
52300000,8.200958
52301000,8.200958
52302000,8.200958
52303000,8.200958
52304000,8.200958
52305000,8.200958
52306000,8.200958
52307000,8.200958
52308000,8.200958
52309000,8.200958
52310000,8.200958
52311000,8.200958
52312000,8.200958
52313000,8.200958
52314000,8.200958
52315000,8.200958
52316000,8.200958
52317000,8.200958
52318000,8.200958
52319000,8.200958
52320000,8.200958
52321000,8.200958
52322000,8.200958
52323000,8.200958
52324000,8.200958
52325000,8.200958
52326000,8.200958
52327000,8.200958
52328000,8.200958
52329000,8.200958
52330000,8.200958
52331000,8.200958
52332000,8.200958
52333000,8.200958
52334000,8.200958
52335000,8.200958
52336000,8.200958
52337000,8.200958
52338000,8.200958
52339000,8.200958
52340000,8.200958
52341000,8.200958
52342000,8.200958
52343000,8.200958
52344000,8.200958
52345000,8.200958
52346000,8.200958
52347000,8.200958
52348000,8.200958
52349000,8.200958
52350000,8.200958
52351000,8.200958
52352000,8.200958
52353000,8.200958
52354000,8.200958
52355000,8.200958
52356000,8.200958
52357000,8.200958
52358000,8.200958
52359000,8.200958
52360000,8.200958
52361000,8.200958
52362000,8.200958
52363000,8.200958
52364000,8.200958
52365000,8.200958
52366000,8.200958
52367000,8.200958
52368000,8.200958
52369000,8.200958
52370000,8.200958
52371000,8.200958
52372000,8.200958
52373000,8.200958
52374000,8.200958
52375000,8.200958
52376000,8.200958
52377000,8.200958
52378000,8.200958
52379000,8.200958
52380000,8.200958
52381000,8.200958
52382000,8.200958
52383000,8.200958
52384000,8.200958
52385000,8.200958
52386000,8.200958
52387000,8.200958
52388000,8.200958
52389000,8.200958
52390000,8.200958
52391000,8.200958
52392000,8.200958
52393000,8.200958
52394000,8.200958
52395000,8.200958
52396000,8.200958
52397000,8.200958
52398000,8.200958
52399000,8.200958
52400000,8.200958
52401000,8.200958
52402000,8.200958
52403000,8.200958
52404000,8.200958
52405000,8.200958
52406000,8.200958
52407000,8.200958
52408000,8.200958
52409000,8.200958
52410000,8.200958
52411000,8.200958
52412000,8.200958
52413000,8.200958
52414000,8.200958
52415000,8.200958
52416000,8.200958
52417000,8.200958
52418000,8.200958
52419000,8.200958
52420000,8.200958
52421000,8.200958
52422000,8.200958
52423000,8.200958
52424000,8.200958
52425000,8.200958
