Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11166000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11167000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11168000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11169000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11170000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11171000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11172000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11173000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11174000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11175000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11176000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11177000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
11178000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793354
11179000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11180000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11181000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
11182000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11183000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11184000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786527
11185000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793838
11186000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11187000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796111
11188000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785366
11189000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808520
11190000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11191000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784539
11192000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11193000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11194000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.795628
11195000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784539
11196000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807839
11197000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806878
11198000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11199000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11200000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11201000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11202000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11203000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807839
11204000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806878
11205000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11206000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11207000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11208000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11209000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786990
11210000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805046
11211000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
11212000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785955
11213000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797365
11214000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11215000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11216000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785799
11217000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806236
11218000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809579
11219000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784603
11220000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11221000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11222000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792559
11223000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786279
11224000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806354
11225000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11226000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11227000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11228000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11229000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11230000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11231000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11232000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11233000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11234000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11235000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11236000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11237000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11238000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11239000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11240000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
11241000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800079
11242000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11243000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11244000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11245000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11246000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806081
11247000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786370
11248000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800563
11249000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11250000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789387
11251000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786636
11252000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11253000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805440
11254000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784539
11255000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11256000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11257000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.788903
11258000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787119
11259000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11260000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
11261000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11262000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11263000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11264000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786431
11265000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11266000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11267000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
11268000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11269000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11270000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809051
11271000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786549
11272000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11273000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11274000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802975
11275000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786564
11276000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803481
11277000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11278000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11279000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11280000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11281000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802975
11282000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785730
11283000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804315
11284000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11285000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
11286000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789706
11287000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11288000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802090
11289000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784859
11290000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806070
11291000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808475
11292000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784603
11293000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792114
11294000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11295000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801199
11296000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.783170
11297000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11298000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11299000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11300000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11301000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11302000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11303000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11304000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11305000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11306000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11307000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11308000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11309000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11310000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11311000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11312000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11313000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786051
11314000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793067
11315000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11316000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11317000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785921
11318000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808024
11319000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807784
11320000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785374
11321000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793745
11322000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11323000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11324000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785280
11325000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807583
11326000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807619
11327000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784055
11328000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11329000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11330000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.795961
11331000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784206
11332000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808113
11333000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807914
11334000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785701
11335000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11336000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11337000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.794041
11338000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786126
11339000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807839
11340000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806878
11341000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11342000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11343000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11344000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11345000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11346000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805024
11347000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
11348000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
11349000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796424
11350000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11351000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11352000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
