Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
36114000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785799
36115000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806236
36116000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809096
36117000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.791522
36118000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
36119000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36120000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792340
36121000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786497
36122000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806354
36123000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.813607
36124000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36125000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
36126000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36127000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
36128000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.791826
36129000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36130000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
36131000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36132000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
36133000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36134000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
36135000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
36136000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36137000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
36138000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
36139000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806516
36140000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36141000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
36142000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
36143000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36144000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805924
36145000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792964
36146000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800563
36147000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36148000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789387
36149000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786636
36150000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36151000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805440
36152000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784539
36153000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36154000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36155000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.788903
36156000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787119
36157000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36158000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
36159000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36160000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36161000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36162000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786431
36163000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
36164000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36165000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
36166000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36167000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36168000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36169000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36170000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
36171000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36172000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802975
36173000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786455
36174000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803590
36175000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36176000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36177000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
36178000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36179000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802953
36180000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785730
36181000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804336
36182000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36183000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
36184000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789706
36185000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36186000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801981
36187000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784376
36188000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806662
36189000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808475
36190000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784603
36191000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792114
36192000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36193000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800623
36194000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.783745
36195000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36196000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36197000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36198000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
36199000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36200000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
36201000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36202000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36203000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36204000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36205000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
36206000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36207000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
36208000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36209000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36210000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36211000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785921
36212000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793198
36213000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36214000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
36215000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
36216000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807646
36217000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808318
36218000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785280
36219000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793838
36220000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36221000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796933
36222000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785706
36223000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807452
36224000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807598
36225000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784206
36226000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
36227000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36228000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.795851
36229000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790752
36230000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807957
36231000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807646
36232000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786126
36233000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
36234000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36235000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793911
36236000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786256
36237000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807839
36238000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806878
36239000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36240000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
36241000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36242000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
36243000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36244000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805024
36245000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
36246000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
36247000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796424
36248000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36249000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
