kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
GRU_L2_100_K1.1.sm_75.ptx 44 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 171 : 1638400 641313056 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 43 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 170 : 1638400 4321041600 0 51200 51200 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 42 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 169 : 1638400 8985321632 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 41 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 168 : 1638400 2269904640 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 99 : 65536 679635360 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 40 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 167 : 1638400 9447706304 128 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 98 : 65536 5840832 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 39 : 65536 797760 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 166 : 1638400 615067680 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 97 : 65536 2312320 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 38 : 65536 3170304 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 165 : 1638400 4128122336 0 51200 51200 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 51 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 52 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 53 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 54 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 55 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 56 : 65536 393216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 57 : 65536 688128 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 58 : 65536 471936 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 59 : 65536 852352 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 60 : 65536 503808 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 61 : 65536 678560 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 62 : 65536 707424 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 63 : 65536 739360 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 64 : 65536 40424448 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 65 : 65536 104882912 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 66 : 65536 144702368 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 100 : 65536 71168800 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 101 : 65536 598070752 0 0 0 2048 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 102 : 65536 58159808 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 103 : 65536 79865120 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 104 : 65536 16670688 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 105 : 65536 549864928 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 106 : 65536 57919200 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 107 : 65536 44890464 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 108 : 65536 6112640 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 109 : 65536 3343456 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 110 : 65536 0 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 112 : 65536 1006944 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 113 : 65536 626560 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 114 : 65536 0 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 116 : 65536 820320 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 117 : 65536 6627648 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 118 : 65536 22945696 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 121 : 65536 5281120 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 122 : 65536 2020928 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 123 : 65536 384967072 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 124 : 65536 55709792 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 125 : 65536 66500544 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 126 : 65536 301404384 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 127 : 65536 50568384 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 128 : 65536 31074528 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 129 : 65536 4657216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 130 : 65536 0 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 132 : 65536 1359072 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 133 : 65536 524576 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 134 : 65536 0 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 136 : 65536 1003168 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 137 : 65536 5637856 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 138 : 65536 21387424 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 141 : 65536 2226592 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 142 : 65536 817216 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 143 : 65536 396416 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 144 : 65536 4550272 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 145 : 65536 1758336 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 146 : 65536 1892192 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 147 : 65536 859456 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 148 : 65536 261510816 0 65536 2048 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 149 : 65536 48947616 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 150 : 65536 770048 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 151 : 65536 515168 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 154 : 1638400 7291507168 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 155 : 1638400 4228339008 0 51200 51200 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 156 : 1638400 723200704 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 157 : 1638400 10394874336 96 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 158 : 1638400 2373613088 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 159 : 1638400 8902556960 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 160 : 1638400 4485607840 0 51200 51200 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 161 : 1638400 668236736 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 162 : 1638400 8856322784 64 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 163 : 1638400 2234055232 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 164 : 1638400 8601394240 0 0 0 51200 51200 0 0 
